id,科目,章,問題種別,年度,問題番号,問題文,論点
1,生保2,1,所見,2018,問題3（1）,"（１）日本における生命保険会計について、以下の①、②の各問に答えなさい。
① 生命保険会計の意義および特徴について簡潔に説明しなさい。（８点）
② 生命保険会計に関してアクチュアリーとして果たすべき役割について、次の論点を踏まえ所見を述べなさい。（１７点）
・現行会計下における、企業活動実態（期間損益）を把握するための管理会計（価値基準会計（潜在価値会計）等）の必要性
・生命保険会社のグローバル展開が進む中、国際的に統一された会計基準を導入する意義および導入における留意点
※特定の会計制度（例えば、ＩＦＲＳ第１７号「保険契約」
）の詳細な内容に触れる必要はない。","【頻出テーマ：法定会計と内部管理会計｜2018・2019・2022・2025】
★同テーマで毎回書く
- 契約者保護と経営管理で会計目的を区別
- 会計利益・将来価値・資本・流動性を併用
【今回の出題軸】
- 法定会計の目的である契約者保護・債務履行能力の確保と、経営管理に必要な期間損益・企業価値の把握を区別する。
- 管理会計や経済価値指標を「法定会計の代替」ではなく「補完」と位置付ける。
【必答論点】
- 生命保険契約は長期であり、保険料収入と保険金支払の時点が大きく離れる。責任準備金評価には将来見積りが不可欠で、一般企業以上に保守性・継続性・保険数理が重要となる。
- 現行法定会計は支払能力確保を重視し、契約時基礎率を用いるロックイン評価や新契約費の早期認識により、経済実態や新契約の将来収益性が単年度損益に直ちに表れない。
- 利源分析、商品・チャネル別収支、将来収支、EV・新契約価値等を併用し、収益性、資本効率、成長投資の妥当性を把握する。
- 管理指標は前提やモデルに依存するため、実績差異分析、感応度分析、独立検証、文書化を行い、確定値のように扱わない。
【差がつく論点】
- EVが増えても短期の資金繰りや法定健全性が十分とは限らないため、価値・利益・資本・流動性を同時に見る。"
2,生保2,1,所見,2018,問題3（2）,"（２）生命保険会社におけるソルベンシーの適切な評価について、以下の①、②の各問に答えなさい。
① 静的なソルベンシーの検証、および動的なソルベンシーの検証について、それぞれ簡潔に説明しなさい。（４点）
② 生命保険会社をとりまく環境の変化・リスクの多様化が進む今日の状況を踏まえ、現行の会計制度、法規制等を前提としつつ、ソルベンシーの適切な評価を行う際に留意すべき点について、次の論点を踏まえ所見を述べなさい。ただし、ソルベンシー・マージン比率の計算方法に触れる必要はない。
（２１点）
・ソルベンシー評価の意義
・適切な責任準備金評価
・通常の予測の範囲を超えたリスクへの財務上の備え
・統合的リスク管理（ＥＲＭ）
・生命保険会社のグローバル展開","【頻出テーマ：ソルベンシー評価・ERM｜2018・2020〜2022・2025】
★同テーマで毎回書く
- 責任準備金と自己資本の二層で説明
- 静的指標・動的検証・ストレスを組み合わせる
【今回の出題軸】
- 「通常予測可能なリスクは責任準備金、通常予測を超えるリスクは広義の自己資本」という二層構造を中心に据える。
- 一時点の規制指標だけでなく、将来収支・ストレス・経済価値・流動性を組み合わせる。
【静的検証と動的検証】
- 静的検証は、一時点の資産・負債、リスク量、自己資本をフォーミュラ等で比較する。客観性・比較可能性・検証可能性に優れるが、個社性や将来の経営行動を十分に反映しにくい。
- 動的検証は、将来キャッシュフローに経営政策、資産運用、ALM、配当、再保険等を織り込み、複数シナリオで将来の健全性を検証する。個社性・将来性を反映できる一方、モデル・前提の恣意性と実務負荷がある。
【必答論点】
- ソルベンシーの目的は、長期にわたり保険契約上の債務を履行し、契約者保護と事業継続を確保すること。
- 責任準備金は負債の中心であり、死亡率・発生率・解約率・予定利率等を商品特性に応じて保守的かつ適切に設定する。
- ロックイン責任準備金だけでは環境悪化を十分反映できないため、将来収支分析、追加責任準備金、第三分野ストレステスト等で補完する。
- 通常予測を超える市場・保険・信用・流動性・オペレーショナルリスクには、危険準備金、価格変動準備金、自己資本、再保険・ヘッジ等で備える。
【差がつく論点】
- 指標を満たすこと自体が目的ではなく、悪化要因を説明し、資本・商品・ALM・再保険等の具体的行動に落とすことが重要。"
3,生保2,1,所見,2019,問題3（1）,"（１）
・（２）ともに４枚以内）。必ず指定枚数以内の解答にとどめること。］各２５点 （計５０点）
（１）契約者（社員）配当について、以下の①～③の各問に答えなさい。
①   契約者配当の分配の際に考慮すべき原則を簡潔に４つ説明しなさい。
②   「利源別配当方式」、「アセットシェア方式」を簡潔に説明しなさい。
③   あなたの所属会社では、次の２つの生命保険商品を販売している。
・平準払終身医療保険
・一時払養老保険なお、いずれも毎年配当タイプ（毎年の利差配当、死差（危険差）配当、費差配当と消滅時特別配当がある保険契約で、一般に有配当個人保険と呼ばれるもの）であり、利差益、死差（危険差）益および費差益が現時点では継続的に安定して得られている。
以上を踏まえ、公正・衡平な契約者配当のあり方について、アクチュアリーとして所見を述べなさい。なお、解答にあたっては、次の観点を含めること。
Ａ．商品特性の相違を踏まえた契約者配当における考慮
Ｂ．仮に金利が低下傾向にある場合の取扱い
Ｃ．仮に新契約から次の内容で保険料率の改定を行う場合の新旧契約間の調整配当のあり方
ア．平準払終身医療保険で最新実績を踏まえ予定発生率を引き下げイ．一時払養老保険で市場金利の状況に連動して機動的に予定利率を改定
Ｄ．発売後の年数が短い平準払終身医療保険における配当率設定のあり方","【頻出テーマ：公正・衡平な契約者配当｜2019・2024】
★同テーマで毎回書く
- 健全性確保後の財源から還元
- 契約群団の剰余への貢献度と合理的期待を反映
【今回の出題軸】
- 公正・衡平を「単年度利益の均等配分」ではなく、契約群団・個別契約の剰余への貢献度に応じた長期的な還元として捉える。
- 商品特性、基礎率変更、契約年度、将来不確実性を配当率に反映する。
【基礎知識】
- 配当原則は、契約者間の公平性、利益変動への適応性、実務上の簡明性、契約者にとっての理解可能性。
- 利源別配当方式は、利差・死差（危険差）・費差等の利源ごとに剰余と貢献度を把握して配当する方法。
【必答論点】
- 配当は責任準備金・健全性確保後の財源から行い、法令・約款・保険数理に従い、契約者の合理的期待にも配慮する。
- 平準払終身医療保険は、長期の発生率・死亡率・解約率・事業費の不確実性が大きく、若齢時の利益を早期に還元し過ぎない。
- 一時払養老保険は資産との対応が明確で、金利リスク・再投資リスク・満期集中を踏まえ、対応資産の実績を配当に反映する。
- 金利低下局面では、将来利差悪化、再投資利回り低下、既契約の保証コストを将来収支・ストレスで確認し、安定配当と内部留保を両立する。
【差がつく論点】
- 配当を下げないことが公平なのではなく、将来の給付履行と残存契約者の負担を守ることも公平性に含まれる。"
4,生保2,1,所見,2019,問題3（2）,"（２）生命保険会社の収益管理について、以下の①～③の各問に答えなさい。
①   利源枠、純保枠を事業費統制の基準として採用する際のメリット・デメリットについて簡潔に説明しなさい。
②   潜在価値会計（エンベディッド・バリュー（ＥＶ））の概要(意義、考え方、特徴など）について簡潔に説明しなさい。
③   あなたは次のような状況にある生命保険会社のアクチュアリーである。
（所属会社の状況）
・会社設立からの経過年数が短く、平準払終身保険を販売
・生命保険募集人の報酬は販売時に一時に支出する形態
・予定利率は、競合他社動向を踏まえ、標準利率よりも高水準に設定
・保有契約は、継続的に増加し続けているが、販売業績は競合他社動向を受け大きく変動
・現時点では継続的に純損失を計上
このような会社に所属しているアクチュアリーとして、収益管理に際して留意すべき事項を挙げ、所見を述べなさい。なお、解答にあたっては、次の観点を含めること。
Ａ．純損失の考えられる要因および今後の見通し
Ｂ．事業費管理のあり方
Ｃ．所属会社の状況を踏まえた場合の、次の収益管理手法の留意点
ア．基礎利益、利源分析といった現行会計における単年度収支イ．将来収支シミュレーションウ．エンベディッド・バリュー（ＥＶ）とその変動、新契約価値
Ｄ．以上を踏まえた具体的な収益管理手法の提案（留意点とその対処を含む）","【頻出テーマ：会計損益と将来価値の両面管理｜2018・2019・2022・2025】
★同テーマで毎回書く
- 新契約費と責任準備金の先行負担を分解
- 単年度会計・将来収支・EVを併用
【今回の出題軸】
- 成長企業の会計赤字を直ちに不採算と判断せず、新契約費の先行負担、責任準備金積増し、販売量変動を分解する。
- 単年度会計、将来収支、EV・新契約価値を相互補完的に使う。
【基礎知識】
- 利源枠は、各利源から得られる剰余を踏まえて事業費支出可能額を管理する考え方。収益力を反映できるが、他利源依存や短期変動の影響を受けやすい。
- 純保枠は、純保険料収入等を基準に事業費を統制する考え方。簡明で保守的だが、商品・チャネルの収益性や成長投資の効果を反映しにくい。
【必答論点】
- 純損失の主因は、新契約費の一時支出、販売増に伴う責任準備金積増し、標準利率を上回る予定利率による積増負担、設立初期の固定費負担である可能性が高い。
- 保有契約が積み上がれば更新・継続保険料と既契約利益が増え、損益改善が期待できるが、継続率、運用利回り、死亡率、事業費が想定を外れれば回復しない。
- 販売量の変動により新契約費と責任準備金負担が大きく振れるため、固定費・変動費、獲得費・維持費を分け、単位コストと回収期間を管理する。
- 基礎利益・利源分析では、新契約増が費差損や責任準備金関係損を生み、成長と会計利益が逆方向に動く点を調整して読む。
【差がつく論点】
- EVが増えても現金・法定資本が不足すれば成長を続けられないため、価値創出と資本制約を同時に見る。"
5,生保2,1,所見,2020,問題3（1）,"（１）あなたの所属する生命保険会社では、これまで営業職員チャネルを通じて平準払終身保険（円建、有配当、予定利率は加入後一定）を販売していたが、このたび銀行窓販チャネルを通じて市場価格調整（ＭＶＡ）を有する一時払終身保険（米ドル建、無配当、予定利率は加入後一定ではなく一定期間毎に変動）を新たに販売することになった。あなたは職務上、区分経理について判断する立場にあり、当該新商品のための商品区分および資産区分を新設して区分経理を行うことを選択した。かかる状況において、以下の①～③の各問に答えなさい。
① 区分経理の意義について簡潔に説明しなさい。
（３点）
② 当該新商品について区分経理を行うと判断し得る理由を簡潔に説明しなさい。（５点）
③ このような会社に所属しているアクチュアリーとして、区分経理を行うにあたっての留意点を挙げた上で、所見を述べなさい。なお、解答にあたっては、次の論点を含めること。
（１７点）
Ａ．区分ごとの損益の把握方法
Ｂ．全社区分との関係
Ｃ．区分ごとのリスク管理","【頻出テーマ：区分経理・内部補助の遮断｜2020・2022・2025】
★同テーマで毎回書く
- 透明性・公平性・セルフサポートを目的に置く
- 損益配賦・対応資産・全社区分との取引を示す
【今回の出題軸】
- 新商品が既存商品と異なるチャネル・通貨・払方・配当・利率・MVA・資産運用特性を持つため、内部補助を遮断しセルフサポートを確認する。
- 区分を作ること自体ではなく、損益配賦、資産対応、全社区分との取引、リスク管理を一体で設計する。
【必答論点】
- 区分経理の目的は、保険経理の透明性、契約者間の公平性、内部補助の遮断、商品別収益・リスク把握、効率的経営にある。
- 銀行窓販は代理店手数料、教育・募集管理、比較販売、販売集中等の費用・リスクが営業職員チャネルと異なる。
- 米ドル建・一時払・MVA・変動利率型は、為替、金利、信用スプレッド、流動性、動的解約の特性が既存の円建平準払商品と大きく異なる。
- 無配当商品を既存有配当区分と混在させると、有配当契約者の剰余が新商品へ流用される懸念がある。
【差がつく論点】
- MVAがあっても流動性リスクが消えるわけではなく、解約集中時の資産売却可能性と顧客苦情を考える。"
6,生保2,1,所見,2020,問題3（2）,"（２）あなたの所属する生命保険会社では医療保険および死亡保険を販売している。今般、統合的リスク管理の一環として、感染症の世界的流行を想定したシナリオ（パンデミックシナリオ）によるストレステスト（想定される将来の不利益が生じた場合の影響に関する分析）の導入を検討している。シナリオには、感染者数や死亡者数の増加に加えて、金融環境の悪化など他の要素を含めることとしている。かかる状況において、以下の①、②の各問に答えなさい。
① ＶａＲ（バリュー・アット・リスク）によるリスク管理のデメリットを踏まえ、ストレステストの意義・目的について簡潔に説明しなさい。
（６点）
② このような会社に所属しているアクチュアリーとして、パンデミックシナリオによるストレステストを行うにあたっての留意点を挙げた上で、所見を述べなさい。なお、解答にあたっては、経済価値ベースの観点を考慮するとともに、次の論点を含めること。
（１９点）
Ａ．シナリオの設定方法
Ｂ．ストレステストにおける確認項目
Ｃ．パンデミックシナリオにより想定される確認項目への影響
Ｄ．ストレステスト結果の活用方法","【頻出テーマ：ストレステスト・複合リスク｜2018・2020・2022・2025】
★同テーマで毎回書く
- VaRの限界を補完する位置付け
- シナリオ→財務影響→経営対応の順で書く
【今回の出題軸】
- ストレステストをVaRの補完として説明し、極端な事象の「発生メカニズム」と「経営行動」を可視化する。
- 保険リスクだけでなく、市場、信用、流動性、事業継続、新契約・解約行動の複合影響を扱う。
【VaRの限界とストレステストの意義】
- VaRは異なるリスクを共通尺度で集約できるが、過去データが乏しいリスク、分布の裾、危機時の相関変化、具体的な事象の連鎖を十分表しにくい。
- ストレステストは発生確率を厳密に置かず、自社に重大な影響を与える仮想・過去事象を具体化し、損失要因と対応策を検討できる。
【シナリオ設定】
- 過去の感染症、政府・国際機関の罹患想定等を用いるヒストリカルシナリオと、未知の感染症等の仮想シナリオを組み合わせる。
- 死亡率・罹患率だけでなく、株価下落、金利変動、信用スプレッド拡大、為替、解約・失効、新契約減少、事業費増、再保険回収遅延を連動させる。
- 期間、地域、年齢、保障種類、医療制度、治療法、行動制限を自社ポートフォリオに合わせる。
- 景気悪化で解約が増える場合と、保障ニーズ上昇で解約が減りリスク濃縮する場合の双方を検討する。
【確認項目と影響】
- 会計利益、純資産、法定健全性指標、経済価値純資産・ESR相当指標、リスクバッファー、流動性、格付・配当余力を確認する。
- 死亡・医療給付増は当期利益と経済価値純資産を減少させ、長期化すれば将来発生率前提や追加責任準備金にも影響する。
【結果の活用】
- リミット・トリガー、資本バッファー、流動性資産、再保険・ヘッジ、商品・引受方針、コンティンジェンシープランを見直す。
- 短期対応と中長期対応を分け、責任者・発動条件・意思決定手順を事前に定める。
【差がつく論点】
- リスク分散は危機時に崩れ得るため、グループ会社・再保険者・市場の同時ストレスを検証する。"
7,生保2,1,所見,2021,問題3（1）,"（１）
・（２）ともに４枚以内）
。必ず指定枚数以内の解答にとどめること。］各２５点 （計５０点）
（１）責任準備金について、次の①～③の各問に答えなさい。
①   責任準備金の評価における「長期性による特徴」、「基礎率の評価性」について説明しなさい。
（３点）
②   日本の責任準備金制度は、現在、ロック・イン方式となっているが、ロック・イン方式のデメリットを補完する現在の日本の制度について説明しなさい。
（５点）
③   日本において、ロック・フリー方式による責任準備金制度が将来導入されると仮定したときに、導入に向けて生命保険会社のアクチュアリーとして検討すべき事項について所見を述べなさい。なお、解答にあたっては、次の論点を含めること。
（１７点）
Ａ．計算基礎率の設定
Ｂ．資産評価、収益管理
Ｃ．ソルベンシーの管理
※ 解答にあたっては、特定の会計制度（例えば、ＩＦＲＳ第１７号「保険契約」
）で用いられる用語や方式を前提とする必要はなく、一般的な考え方に基づき解答すればよい。","【頻出テーマ：保険負債の評価前提・経済価値｜2018・2021・2022・2024】
★同テーマで毎回書く
- 評価目的と前提更新ルールを明示
- 資産負債の整合・感応度・ガバナンスを示す
【今回の出題軸】
- ロックインとロックフリーの優劣を単純比較せず、会計目的、安定性、経済実態、実行可能性のトレードオフを示す。
- 負債だけでなく、資産評価、収益、配当、資本、開示を同時に再設計する。
【基礎知識】
- 長期契約では将来給付・保険料・事業費を見積もるため、責任準備金は目的に応じた評価額となる。
- 死亡率、発生率、解約率、事業費、割引率には不確実性があり、保守性と最新実態のどちらを重視するかで評価が変わる。
【必答論点】
- ロックフリーでは、経済前提を市場整合的に、非経済前提を最新の自社実績・外部データ・将来トレンドに基づき更新する。
- データ区分、観察期間、補間・補外、選択効果、モデル変更、リスクマージン等のルールとガバナンスを定める。
- 最新実態を反映できる一方、前提変更で負債・損益が大きく変動し、恣意性・比較可能性・計算負荷の課題が生じる。
- 負債を経済価値評価するなら資産も整合的に評価し、ALMの効果と資産負債のミスマッチを貸借対照表に反映する。
【差がつく論点】
- 経済価値の変動を全て業績とみなさず、管理可能な要因と市場要因を分離する。"
8,生保2,1,所見,2021,問題3（2）,"（２）生命保険会社のリスク管理について、次の①、②の各問に答えなさい。
①   リスク管理プロセス（一般に６段階）について簡潔に説明しなさい。なお、解答にあたっては、リスク対応における４つのカテゴリーについて触れること。
（８点）
②   あなたの所属する生命保険会社では、これまで保険期間１年の無配当定期保険のみを販売しており、第三分野の保険を取り扱っていない。今般、新たに保険期間終身の無配当平準払医療保険の販売を開始することとなった。このような会社のリスク管理部門に所属するアクチュアリーとして、リスク管理を行うにあたっての留意点を挙げた上で、所見を述べなさい。なお、解答にあたっては、次の論点を含めること。
（１７点）
Ａ．医療保険の販売開始に伴う会社のリスク特性・リスクプロファイルの変化
Ｂ．Ａ.に対するリスク対応
Ｃ．リスク管理の高度化に向けて検討すべき点","【頻出テーマ：リスク管理プロセスと対応｜2018・2020〜2022・2025】
★同テーマで毎回書く
- 特定→評価→計測→対応→報告
- 回避・受容・軽減・移転を具体策へ落とす
【今回の出題軸】
- 新商品発売を「保険リスクの追加」だけでなく、長期負債・資産運用・流動性・事務・モデル・風評まで含む全社的変化として捉える。
- リスクの特定から報告までのプロセスと、回避・受容・軽減・移転を具体策に落とす。
【リスク管理プロセス】
1. リスクの特定：ボトムアップとトップダウンで潜在・新興リスクを洗い出す。
2. リスク評価・プロファイリング：発生可能性、影響、固有リスク、統制後の残余リスクを評価する。
3. リスク計測：目的に適した指標・モデル・データで定量化し、限界も把握する。
4. リスク対応：回避、受容、軽減、移転・共有をリスク・リターンとアペタイトに基づき選ぶ。
【リスクプロファイルの変化】
- 保険リスク：終身の罹患率・給付率、長寿化、医療技術・公的制度、選択・逆選択、解約率の不確実性が加わる。
- 市場リスク：長期責任準備金と運用資産が増え、金利・信用・再投資リスクが拡大する。
【対応策】
- 保険リスクは完全回避せず、引受基準、商品設計、給付限度、料率、再保険、経験分析、追加責任準備金で軽減・移転する。
- 市場リスクはALM、長期資産、ヘッジ、リミットで管理し、ノウハウ不足なら外部委託も検討する。
【高度化】
- 発売前に新商品リスク評価と承認を行い、商品部門・数理・運用・リスク・事務・法務を横断させる。
- 医療データ基盤、経験率分析、動的解約、将来収支、ストレス、経済価値評価を整備する。
【差がつく論点】
- 新商品で分散効果が得られる可能性はあるが、長期・第三分野リスクが従来の短期死亡保障とは異なるため、相関を安易に低く置かない。"
9,生保2,1,所見,2022,問題3（1）,"（１）利源分析について、次の（ア）～（ウ）の各問に答えなさい。
（計２５点）
（ア）利源分析の意義について簡潔に説明しなさい。（解答の制限字数は１，０００字）（３点）
（イ）金融庁提出用の利源分析の手法（決算状況表の一部として提出する利源分析表の様式・基準）における、両建て科目である「予定利息」・「解約・失効契約の消滅時保険料積立金」について、その内容と役割を簡潔に説明しなさい。
（解答の制限字数は１，０００字）（５点）
（ウ）あなたの所属する生命保険会社では、無解約返戻金型の医療保険（予定解約率を計算基礎率に使用）契約を保有しており、当該医療保険を対象として追加責任準備金を計上している。
あなたは、当該医療保険に対して、利益特性に応じた利源別損益の把握および各利源別損益の要因分析を行うこととした。この際、金融庁提出用の利源分析の手法にとらわれず、内部管理に用いる前提で利源別損益の把握や要因分析を行う場合の留意点および対応策について、アクチュアリーとして所見を述べなさい。なお、解答にあたっては、次の観点を含めること。
（解答の制限字数は３，５００字）
（１７点）
Ａ．当該医療保険の特性を踏まえた利源分析上の取扱い
Ｂ．追加責任準備金の利源分析上の取扱い","【頻出テーマ：利源分析・要因分解｜2019・2022・2023・2025】
★同テーマで毎回書く
- 損益を発生原因に沿って利源別に分解
- 単年度分析を将来収支・EV・施策評価で補完
【今回の出題軸】
- 規制提出用の画一的な利源分析をそのまま使わず、商品特性と管理目的に合わせて再配分・細分化する。
- 予定解約率と追加責任準備金の損益を、発生原因に即して適切な利源へ帰属させる。
【基礎知識】
- 利源分析は、剰余を費差・死差（危険差）・利差・責任準備金関係・価格変動等に分解し、収益構造、基礎率妥当性、経営施策の効果を把握する手法。
- 予定利息は、責任準備金の予定利率による増加分を死差側の収益と利差側の費用に両建てし、保険関係損益と運用損益を分離する。
【当該医療保険の取扱い】
- 死亡保障と疾病給付、入院・手術・診断給付等を必要に応じて分け、発生率・支払単価・選択効果を分析する。
- 予定解約率を使う無解約返戻金型では、解約によって将来給付財源が残存契約へ移る構造がある。予定解約率どおりの準備金解放と実績差を明示的に分ける。
【追加責任準備金の取扱い】
- 発生率悪化に起因する積増・戻入は危険差、低金利・逆ざやに起因する部分は利差、事業費超過は費差、解約前提は解約差に帰属させる考え方が自然。
- 複数前提を同時に用いる負債十分性テストでは、単純な一利源帰属が難しいため、感応度・順序依存性を検討し、管理目的に応じて分解する。
【内部管理への活用】
- 商品別・チャネル別の収益性、料率改定、引受・支払査定、再保険、事業費、資産運用の改善につなげる。
- 単年度利源分析だけでなく、将来収支、EV、ストレスと結合し、長期採算と健全性を確認する。
【差がつく論点】
- 支払査定強化の費用は費差を悪化させても危険差を改善するため、部門別ではなく総合収益で施策評価する。"
10,生保2,1,所見,2022,問題3（2）,"（２）生命保険会社のソルベンシーについて、次の（ア）～（ウ）の各問に答えなさい。
（計２５点）
（ア）ソルベンシー評価の意義について簡潔に説明しなさい。（解答の制限字数は１，０００字）
（４点）
（イ）経済価値ベースでのソルベンシー評価について、現行の国内規制に基づくソルベンシー評価（ソルベンシー・マージン比率）と比較したメリット・デメリットを簡潔に説明しなさい。
（解答の制限字数は１，０００字）
（４点）
（ウ）生命保険会社を取り巻く環境の変化やリスクの多様化が進む今日の状況を踏まえ、ソルベンシー評価指標（現行の国内規制に基づくソルベンシー・マージン比率に限らない）の経営への活用について、アクチュアリーとして所見を述べなさい。なお、解答にあたっては、次の観点を含めること。
（解答の制限字数は３，５００字）（１７点）
Ａ．内部管理目的でのソルベンシー評価のあり方
Ｂ．健全性を確保していくための方策、リスク管理
Ｃ．収益性向上","【頻出テーマ：経済価値ソルベンシー・資本活用｜2018・2021・2022・2024】
★同テーマで毎回書く
- 規制最低基準と内部目標資本を区別
- 商品・ALM・再保険・資本配賦へつなげる
【今回の出題軸】
- 規制最低基準と内部経営管理を区別し、経済価値ベースの資本管理を商品・ALM・収益へ接続する。
- 精緻化の利点と、前提依存性・比較可能性・計算負荷の欠点を均衡して書く。
【意義】
- ソルベンシーは、通常の予測可能な債務を責任準備金で、通常予測を超える損失を自己資本で吸収し、保険金支払と事業継続を確保する財政基盤。
- 契約後も継続的に評価し、悪化前に資本・商品・運用・再保険等の対策を講じる。
【経済価値ベースのメリット】
- 資産・負債を整合的に時価・経済価値評価し、純資産の変動をトータルバランスシートで捉える。
- 金利・株価・信用・保険・解約等の相互作用、ALM・ヘッジ・再保険・個社特性をより直接反映できる。
【デメリット】
- 非経済前提、モデル、依存構造、超長期金利等により結果が大きく変わり、恣意性・モデルリスクがある。
- 期間比較・会社比較が難しく、変動要因分析、感応度、開示、独立検証が不可欠。
【内部管理の設計】
- 規制指標に加え、内部モデル・ストレス・流動性・法定会計資本を併用し、単一指標に依存しない。
- リスクアペタイト、目標資本レンジ、警戒・介入・回復トリガーを取締役会承認の下で設定する。
【健全性確保策】
- ALM、ヘッジ、再保険、商品設計・料率、引受、限度額、資産分散、流動性バッファー、資本調達を組み合わせる。
- 危機時に分散効果・調達手段が弱まることを踏まえ、回復計画・コンティンジェンシープランを整える。
【収益性向上への活用】
- 商品・チャネル・事業単位でリスク調整後収益、資本コスト、新契約価値を比較し、資本配賦・商品戦略を最適化する。
- 高収益でも資本消費が大きい商品、低収益でも分散効果が高い商品を総合評価する。
【差がつく論点】
- 経済価値指標を改善するALMが法定会計指標や流動性を悪化させる場合があるため、複数制約下で意思決定する。"
