id,科目,章,問題種別,年度,問題番号,曜日グループ,問題文,解答,解説
1,生保2,1,小問,,,1,"生命保険会計の意義に関する以下の文章の空欄を埋めよ。

　生命保険会計とは、生命保険会社の【①】の状況、業務あるいは活動の実態等を金銭で評価し、会計の言葉で表現することである。
　生命保険会社においても【②】及び【③】等に則った会計処理を行うという点では一般の会社と変わりはない。しかし、生命保険業においては、【④】において、その中心的な目的である【⑤】を図るために、会計についても特別の規定がなされている。すなわち、一般の企業会計においては【⑥】の保護に力点が置かれたものとなっているが、生命保険会計については、契約の全期間にわたり【⑤】が確実に遂行されるよう生命保険会社の【①】の確保を重視した会計が指向されている。この【①】の確保を重視した【④】による会計を、わが国では一般的に生命保険会計と呼んでいる。","① 支払能力の状況　② 会社法
③ 企業会計原則　④ 保険業法
⑤ 契約者の保護　⑥債権者及び投資家",生命保険会計は、一般の企業会計とは異なり、契約者保護を目的とした「支払能力の状況」の確保を最重視している点が大きな特徴です。
2,生保2,1,小問,,,1,生命保険会計の特徴について、箇条書きで６つ挙げなさい,"① 保険期間が超長期であること
② 保険料計算等の前提として大数の法則に従う群団が必要なこと
③ 保険料の構成要素が多様であること
④ 平準保険料方式をとっていることから、特に責任準備金の評価において技術的要素が極めて強いこと
⑤ 相互会社形態の会社もあること
⑥ 1,000万件以上の契約を保有する会社もあり、契約の量が極めて多いこと。",保険契約の超長期性や、大数の法則を前提とする群団性など、生命保険事業ならではの特殊性が会計ルールにも色濃く反映されています。
3,生保2,1,小問,,,1,保険料未収時の会計上の取扱いについて、簡潔に説明しなさい。,"・保険料の計上は現金主義によっており未収保険料は計上しないが、これに対応し、責任準備金の積立ても保険料の入金を限度として行っている。これを責任準備金の「限度積立」と呼んでいる。
・責任準備金は、技術上の問題から年度末有効契約に対して一応払込期日の到来した保険料につき、すべて収入のあったものとして計算し、そこから未収保険料中の保険料積立金および未経過保険料相当分を各々差し引いて算出する。
・ただし、決算時に保険料が未収となっている契約のうち、保険料払込猶予期間末までに保険料の収入が見込めない契約からも死亡保険金等の請求だけはあると考えて、決算時から保険料払込猶予期間末までの期間に対する危険保険料相当額を未経過保険料として積み立てることとしている。",保険料の計上は「現金主義」が原則であり、それに伴い責任準備金も未収分は積み立てない「限度積立」という手法が採用されています。
4,生保2,1,小問,,,1,支払備金についてその意義も含め簡潔に説明しなさい。,"保険金等で、
Ａ．支払い義務が発生しているが、決算期においてまだ支出として計上していない保険金等
Ｂ．決算期においてまだ支払事由の発生の報告を受けていないが、支払事由が既に発生したと認められる保険金等（既発生未報告備金:IBNR備金）
がある場合、「支払備金」として積み立てなければならない。
生命保険会計における費用の計上基準は発生主義である。実務上は、期中の保険契約上の保険金等を、その支払時に現金主義により処理し、事業年度末において「支払備金」勘定を用いることによって発生主義による処理に修正する。",
5,生保2,1,小問,,,1,責任準備金の特徴のうち「基礎率の評価性」について簡潔に説明しなさい。,責任準備金計算用の計算基礎率は、 支払能力に重点を置いた評価の場合、必ずしも保険料計算基礎率と同一の率で評価しなければならないということでもない。 今、評価する時点において、将来の保険事故の発生率が高くなることが相当に確実であることが予想されるなら、その高く見込まれる給付発生率を用いた責任準備金を積み立てることが必要であろう。,
6,生保2,1,小問,,,1,責任準備金評価方式のうち、「平準純保険料式責任準備金」と「チルメル式責任準備金」について、それぞれ簡潔に説明しなさい。,"＜平準純保険料式責任準備金＞
保険料のうち純保険料と付加保険料の内訳を毎年同じとし、将来の収入は平準化した純保険料のみを、将来支出は保険金のみを、利率を付して考慮する方式。

＜チルメル式責任準備金＞
純保険料と付加保険料の内訳を、初年度は新契約費支出を考慮して付加保険料部分を高くし、その分2年目以降の付加保険料部分を減らして純保険料部分を多くすることにより、最終的には収支相当を保つように分解する方法で計算した、純保険料と保険金支払のみを考慮した積立方式。",
7,生保2,1,小問,,,1,保険料の会計上の特性について、箇条書きで４つ挙げなさい,"① 保険料はその算出の根拠となる保険数理上の前提から群団を意識した概念であり、かつ様々な要素を含んでいることから、保険料の収益性は一種の評価であり保険金等の特定の費用と個別的な対応関係を当然には持たない。
② 保険料算出上の前提および保険料収納時の一括収益計上性を考慮すれば、対応する費用として「責任準備金繰入」の計上が不可欠である。
③ 保険料の増加は単年度剰余の比例的増加をもたらさない。
④ 前納保険料等、当期に充当される保険料以外の保険料についても収納した時点で全額を保険料として計上する。
その他 保険料は現金主義により計上される",
8,生保2,1,小問,,,1,保険業法、保険業法施行規則および告示における支払備金に係る規定について説明せよ,"・保険金、給付金、解約返戻金等で、支払義務が発生したが何らかの事情で事業年度末に当該事由に対する支払いがなされていない場合等には、会社はその金額を「支払備金」として積み立てなければならない(法第117条)

・次の二種類の積み立てが要求される。(規則第72条、73条)
① 支払義務が発生しているが、決算期において、まだ支出として計上していない保険金等
② 支払義務の報告を受けていないが、支払事由が既に発生したと認められる保険金等(ＩＢＮＲ備金)

・ＩＢＮＲ備金の具体的な計算方法は以下の平均額
① 前年度末ＩＢＮＲ備金積立所要額　　×当年度支払額÷前年度支払額
② 前々年度末ＩＢＮＲ備金積立所要額　×当年度支払額÷前々年度支払額
③ 前々々年度末ＩＢＮＲ備金積立所要額×当年度支払額÷前々々年度支払額",
9,生保2,1,小問,,,1,標準責任準備金対象外契約を列挙せよ,"・責任準備金が特別勘定に属する財産の価額により変動する保険契約で、保険金等の額を最低保証していない保険契約
・保険料積立金のない保険契約
・責任準備金・保険料の予定利率を変更できる旨、約款に規定している保険契約（標準利率を超える利率を最低保証している契約を除く）
・保険期間1年以下の保険契約
・外国通貨をもって保険金、返戻金その他給付金の額を表示する保険契約",
10,生保2,1,小問,,,1,"固定資産の減損会計における減損損失の認識について以下の空欄を埋めなさい。
事業用資産では金融資産のように将来キャッシュフローが約定されていないため、測定が主観的となることを考慮し､減損の存在が【①】な場合に限って減損損失を認識する｡【②】の将来キャッシュフローの総額が帳簿価額を下回る場合に減損損失を認識するとしている(【③】では将来キャッシュフローの【④】との比較で判定する)など､【③】の判定基準とは一部違いがある。なお､土地等は使用期限が無限になりうることから、(【⑤】＋１）年目以降の将来キャッシュフローは【⑤】年目時点での【④】を【⑤】年目までの割引前将来キャッシュフローに加算することとしている。","① 相当程度に確実 ② 割引前
③ 国際会計基準 ④ 割引現在価値
⑤ 20",
11,生保2,1,小問,,,1,ヘッジ取引の目的とヘッジ会計についてそれぞれ簡潔に説明しないさい。,"・ヘッジ取引は、デリバティブ等のヘッジ手段を用いて有価証券等のヘッジ対象のリスクを減殺することを目的とするが、減殺されるリスクにより、相場変動を相殺するヘッジ取
引とキャッシュフローを固定するヘッジ取引の2つに分けることができる。
・金融商品の時価会計ではデリバティブ取引は時価評価が原則だが、ヘッジ取引においてヘッジ対象の評価損益が損益計上されていない場合には､ヘッジ手段であるデリバティブ取引の評価損益のみが損益計上され、ヘッジ対象とヘッジ手段の損益計上時期がずれることになるため、ヘッジ取引の効果を財務諸表に適切に反映するために、損益の計上時期を一致させる例外的な会計手法「ヘッジ会計」が認められている。",ヘッジ会計は、ヘッジ対象（資産等）とヘッジ手段（デリバティブ等）の損益を認識するタイミングのズレを解消し、ヘッジ効果を財務諸表に正しく反映するための例外的な仕組みです。
12,生保2,1,小問,,,2,"保険業法施行規則第30条の4に定める剰余金の処分の対象となる金額について､以下の空欄を埋めなさい。

剰余金の処分の対象となる金額は､【①】の額から次の(ｱ)～(ｷ)の合計額を控除した金額である。
(ｱ) 【②】の額
(ｲ) 任意積立金目的取崩額
(ｳ) 【③】の支払額
(ｴ) 【④】及び【⑤】としてその決算期に積み立てる額
(ｵ) 【⑥】の償却に充てることを目的としてその決算期に純資産の部に積み立てる任意積立金の額
(ｶ) のれん等調整額
(ｷ) 決算期の剰余金に含まれる社員配当準備金の取崩額
相互会社は､上記の金額の【⑦】％以上を社員に分配しなければならない。","① 当期未処分剰余金　② 前期繰越剰余金
③ 基金利息　④ 損失てん補準備金
⑤ 基金償却積立金　⑥ 基金
⑦ 20",相互会社では、当期未処分剰余金から基金関連等の額を控除した実質的な剰余金のうち、20%以上を社員（契約者）に分配することが法令で義務付けられています。
13,生保2,1,小問,,,2,責任準備金の損金算入限度について簡潔に説明しなさい。,"責任準備金繰入額のうち、保険料積立金及び未経過保険料の部分を限度として損金算入できる。
保険料積立金については、標準責任準備金の対象契約については標準責任準備金の額、それ以外の契約については保険料計算基礎率に基づき平準純保険料で計算した額を限度とする。",税務上、責任準備金の損金算入は無制限に認められるわけではなく、標準責任準備金や平準純保険料式に基づく額が上限とされています。
14,生保2,1,小問,,,2,"保険業法施行規貝1第30条の5に定める社員配当準備金の積立限度額について､以下の空欄を埋めなさい。
(ｱ) 【①】の額（利息をつけて積み立てている額）
(ｲ) 【②】の額(各社員に割り当てている配当でいまだ支払われていない額決算期においては【③】を含む。)
(ｳ) 【④】(保険契約が全件消滅したとして計算した消滅時に支払う配当額)
(ｴ) その他(ｱ)～(ｳ)に準ずるものとして【⑤】において定める額","① 積立配当　② 未払配当
③ 翌期配当所要額　④ 全件消滅時配当所要額
⑤ 保険料及び責任準備金の算出方法書（算出方法書だけでも可）",社員配当準備金の積立限度額は、既に割り当てられた配当や翌期の支払見込額に加え、全契約が消滅したと仮定した場合の配当所要額等も含めて計算されます。
15,生保2,1,小問,,,2,"生命保険会社の税制について、以下の空欄を埋めなさい。

(ｱ)7%最低課税方式とは､課税所得が当期【①】の7%相当額に満たない場合は【①】の7%相当額をもって課税標準とする方式である｡ただし､【②】､【③】､【④】に係る【①】は2分の１に減額して計算する。

(ｲ)責任準備金の繰入額について､保険料積立金については保険料の計算基礎を基にして【⑤】式で計算した額を限度として､損金算入が認められている｡ただし､【⑥】の対象契約については､大蔵省告示第48号で定められた計算基礎率により計算した額を限度額とする。
契約者配当準備金繰入額の損金処理が認められている｡ただし､【⑦】が上限とされている。","① 剰余金　② 団体定期保険
③ 心身障害者扶養者生命保険　④ 再保険
⑤ 平準純保険料　⑥ 標準責任準備金
⑦ 翌期配当所要額",法人税等の計算において、課税所得が「剰余金の7%」に満たない場合はそれを課税標準とする「7%最低課税方式」など、生保特有の税制ルールが存在します。
16,生保2,1,小問,,,2,利源分析の意義、留意点を簡潔に説明しなさい。,"・生命保険会社の剰余金は損益計算書において一応の源泉を知ることができる。
・しかし、経営目的からも保険会社を監督する立場からも、単に会社全体の剰余を知るだけでは不十分であり、計算基礎率の妥当性や利源毎収益の状況を把握すること、及び契約者配当の公平性確保に資すること等のために、この剰余を利源別に分析することが必要である。
･利源分析の手法は様々であり、その目的に応じた分析を行うことが必要である。
・なお、 保険会社監督の立場からは、各社の独自の基準による利源分析を提出させても比較が容易にできないため、監督用として基準・様式が定められている。

＜その他の視点＞
・商品の収益力や企業の収益力の評価
・契約者や投資家へ開示することにより、透明性確保につながる。",会社全体の利益だけでなく、その発生要因（死差・利差・費差等）を分解して分析することで、保険料計算の妥当性や配当の公平性を検証できます。
17,生保2,1,小問,,,2,保険業法施行規則第30条の2に定める、社員に対する剰余金の分配方法について説明せよ。,"保険契約の特性に応じて設定した区分ごとに、剰余金の分配の対象となる金額を計算し、次の各号に掲げるいずれかの方法またはその併用により実施
① アセットシェア方式(保険料及び保険料として収受した金銭の運用益から、保険金等の支払い、事業費支出その他の費用を控除した金額に応じて分配)
② 利源別配当方式(剰余金の分配の対象となる金額をその発生原因ごとに把握し、それぞれ各保険契約の責任準備金、保険金その他の基準となる金額に応じて計算し、その合計額を分配)
③ 剰余金の分配の対象となる金額を、保険期間等により把握し、各保険契約の責任準備金、保険料その他の基準となる金額に応じて計算した額を分配する方法
④ その他①～③に準ずる方法。",剰余金の分配（配当）は、どんぶり勘定ではなく、契約の特性に応じた「アセットシェア方式」や「利源別配当方式」などの手法で行うよう規則で定められています。
18,生保2,3,小問,,,2,契約者配当を行う理由について5つ挙げ、それぞれ簡潔に説明しなさい。,"○安全性の原則
保険料計算基礎に組み込んだ安全割増を、時間の経過とともに実際の経営諸効率が判明するにつれて、契約者配当として還元することで契約者間の公平性を保持
○経験料率の採用
適切な保険事故発生率の測定が困難な場合の、真の保険事故発生率への保険料率の補正
○保険料率の調整
保険料率を細分化することが事務的に負担になる場合の、保険料率の事後調整
○競争上の手段
保険料率が行政監督上、ほとんど統一的に定められている場合の競争手段
○購買力の実質価値保全
インフレによる保険契約上の給付の実質価値の保全",配当は単なる利益還元ではなく、保険料に含めた安全割増の事後精算や、インフレからの価値保全など、多様で重要な役割を担っています。
